loss,params,iteration,estimators,train_time
0.23838038327195188,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.7706879189819607, 'learning_rate': 0.03598378193909862, 'min_child_samples': 135, 'num_leaves': 67, 'reg_alpha': 0.9645612747608906, 'reg_lambda': 0.9616204046171472, 'subsample_for_bin': 60000, 'subsample': 0.5253657477796922, 'metric': 'auc'}",18,66,3.9791626485182405
0.24164813067569457,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.8464791720356762, 'learning_rate': 0.10875645732896141, 'min_child_samples': 380, 'num_leaves': 112, 'reg_alpha': 0.002436386070584051, 'reg_lambda': 0.09460288039448272, 'subsample_for_bin': 180000, 'subsample': 0.7153773885862027, 'metric': 'auc'}",19,39,4.573710767725444
0.250014865311742,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.6048404419661536, 'learning_rate': 0.06644368221542607, 'min_child_samples': 85, 'num_leaves': 66, 'reg_alpha': 0.776616518870496, 'reg_lambda': 0.5854944753883532, 'subsample_for_bin': 300000, 'subsample': 1.0, 'metric': 'auc'}",20,11,1.8619047028480367
0.24076997218241702,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.9773986913590285, 'learning_rate': 0.19802256882096753, 'min_child_samples': 320, 'num_leaves': 90, 'reg_alpha': 0.05508536902989189, 'reg_lambda': 0.878442626206101, 'subsample_for_bin': 80000, 'subsample': 0.9860458540996664, 'metric': 'auc'}",21,19,2.5169985318701436
0.23792043495095905,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6714456874846507, 'learning_rate': 0.1284813716815191, 'min_child_samples': 315, 'num_leaves': 82, 'reg_alpha': 0.0708678790296157, 'reg_lambda': 0.856809841017921, 'subsample_for_bin': 20000, 'subsample': 0.9880005206707034, 'metric': 'auc'}",22,26,2.0204327925386707
0.23776791005704245,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6754796439780206, 'learning_rate': 0.010395111872277856, 'min_child_samples': 490, 'num_leaves': 92, 'reg_alpha': 0.0057102465414531275, 'reg_lambda': 0.8676835101650509, 'subsample_for_bin': 100000, 'subsample': 0.8504521964088037, 'metric': 'auc'}",23,51,2.1362063575625427
0.2399314033116683,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6450488834663934, 'learning_rate': 0.013825391023932636, 'min_child_samples': 320, 'num_leaves': 147, 'reg_alpha': 0.10064767155541222, 'reg_lambda': 0.6825009103288038, 'subsample_for_bin': 140000, 'subsample': 0.5278964953321146, 'metric': 'auc'}",24,243,18.869803438237838
0.23616208269560646,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7170034421060119, 'learning_rate': 0.025887936065543102, 'min_child_samples': 360, 'num_leaves': 149, 'reg_alpha': 0.2436022782344304, 'reg_lambda': 0.9406136393516294, 'subsample_for_bin': 20000, 'subsample': 0.8777897368942661, 'metric': 'auc'}",25,114,3.265095159020319
0.23666587956523977,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7134754481161221, 'learning_rate': 0.025801102817319628, 'min_child_samples': 355, 'num_leaves': 146, 'reg_alpha': 0.23394122806070847, 'reg_lambda': 0.9976565216110702, 'subsample_for_bin': 20000, 'subsample': 0.8672521872148622, 'metric': 'auc'}",26,149,4.214557365046872
0.2307674048281958,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7181868574811023, 'learning_rate': 0.024338458683893147, 'min_child_samples': 280, 'num_leaves': 50, 'reg_alpha': 0.603184326349111, 'reg_lambda': 0.9201295875833453, 'subsample_for_bin': 60000, 'subsample': 0.8915036419829395, 'metric': 'auc'}",27,113,3.6159469779746303
0.23281673520233426,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6343601449779234, 'learning_rate': 0.026568172307769318, 'min_child_samples': 280, 'num_leaves': 30, 'reg_alpha': 0.6833648830862724, 'reg_lambda': 0.7776775996273153, 'subsample_for_bin': 60000, 'subsample': 0.9194395526046918, 'metric': 'auc'}",28,116,4.930606167000718
0.23192944351041367,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7577240641261779, 'learning_rate': 0.015307960143377828, 'min_child_samples': 245, 'num_leaves': 49, 'reg_alpha': 0.603369495677075, 'reg_lambda': 0.2846291564749245, 'subsample_for_bin': 60000, 'subsample': 0.768311477198679, 'metric': 'auc'}",29,216,6.6625140216451655
0.2331048000272714,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6991610720368171, 'learning_rate': 0.029936363976423797, 'min_child_samples': 280, 'num_leaves': 37, 'reg_alpha': 0.6023863606447095, 'reg_lambda': 0.8028198589674393, 'subsample_for_bin': 40000, 'subsample': 0.6887697070609137, 'metric': 'auc'}",30,105,4.582833871248482
0.23858506795611134,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7996838818856171, 'learning_rate': 0.021826234651192395, 'min_child_samples': 205, 'num_leaves': 56, 'reg_alpha': 0.5096379542339267, 'reg_lambda': 0.9118858261353452, 'subsample_for_bin': 100000, 'subsample': 0.9245247781970111, 'metric': 'auc'}",31,137,4.608353586226883
0.23255651094823226,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6515762421911409, 'learning_rate': 0.010016313019080078, 'min_child_samples': 265, 'num_leaves': 79, 'reg_alpha': 0.6669880795225217, 'reg_lambda': 0.6170655184563283, 'subsample_for_bin': 80000, 'subsample': 0.8166321961856917, 'metric': 'auc'}",32,346,6.590079581790405
